Feature	Category
Ubiquitination_2	PTM
Ubiquitination_1	PTM
Phosphorylation_1	PTM
Phosphorylation_2	PTM
Acetylation_1	PTM
Methylation_1	PTM
Acetylation_2	PTM
Methylation_2	PTM
Sumoylation_1	PTM
Methylation.K_1	PTM
Boisvert2012_Hela_Nucleolus_Turnover	Half-life
Mathieson2018_mNeurons_Halflife	Half-life
Boisvert2012_Hela_Nucleus_Turnover	Half-life
Selbach2011_NIH3T3_Halflife	Half-life
Mathieson2018_Bcells_Halflife	Half-life
Boisvert2012_Hela_Whole_Turnover	Half-life
Mathieson2018_Monocytes_Halflife	Half-life
Boisvert2012_Hela_Cytoplasm_Turnover	Half-life
Mathieson2018_NKs_Halflife	Half-life
Mathieson2018_Hepatocytes_Halflife	Half-life
Zecha2018_Hela_Halflife	Half-life
MOLT4_RNA	Expression
MOLT4_Protein	Expression
MOLT4_H3K27ac	Expression
Length	Length
MLN4924_DMSO.PSI	Stability
SCF_DMSO.PSI	Stability
SCF.PSI	Stability
Nterminome	Stability
MLN4924.PSI	Stability
CRL4.PSI	Stability
Cterminome	Stability
CRL3_DMSO.PSI	Stability
GPSseq	Stability
CRL3.PSI	Stability
CRL4_DMSO.PSI	Stability
nInteract	PPI
nComplex	PPI
DisorderFraction	Other
LysRatio	Other
Detectability	Detectability
