ID	Family	Subfamily
ABL1	TK	Abl
TNK2	TK	Ack
ACVR2A	TKL	STKR
ACVR2B	TKL	STKR
COQ8B	Atypical	ABC1
TRIB1	CAMK	Trbl
BRSK2	CAMK	CAMKL
WNK2	Others	WNK
AKT1	AGC	Akt
AKT2	AGC	Akt
AKT3	AGC	Akt
CAMK1G	CAMK	CAMK1
ALK	TK	ALK
ACVRL1	TKL	STKR
ACVR1	TKL	STKR
BMPR1A	TKL	STKR
ACVR1B	TKL	STKR
TGFBR1	TKL	STKR
BMPR1B	TKL	STKR
PRKAA1	CAMK	CAMKL
PRKAA2	CAMK	CAMKL
NPR1	RGC	RGC
NPR2	RGC	RGC
ARAF	TKL	RAF
ABL2	TK	Abl
ATM	Atypical	PIKK
ATR	Atypical	PIKK
AURKC	Others	Aur
AXL	TK	Axl
GRK2	AGC	GRK
BCKDK	Atypical	PDHK
MAP4K2	STE	STE20
BLK	TK	Src
BRAF	TKL	RAF
PTK6	TK	Src
BTK	TK	Tec
BUB1B	Others	BUB
CDK7	CMGC	CDK
CAMK1	CAMK	CAMK1
CAMK2A	CAMK	CAMK2
CAMK2B	CAMK	CAMK2
CAMK2G	CAMK	CAMK2
CAMK4	CAMK	CAMK1
CAMKV	CAMK	CAMK-Unique
DCLK1	CAMK	DCAMKL
CASK	CAMK	CASK
CDK1	CMGC	CDK
CDC7	Others	CDC7
CDK2	CMGC	CDK
CDK3	CMGC	CDK
CDK4	CMGC	CDK
CDK5	CMGC	CDK
CDK6	CMGC	CDK
CDK8	CMGC	CDK
PRKG1	AGC	PKG
PRKG2	AGC	PKG
CDK13	CMGC	CDK
CHEK1	CAMK	CAMKL
CHEK2	CAMK	RAD53
CSNK1A1	CK1	CK1
CSNK1D	CK1	CK1
CSNK1E	CK1	CK1
CSNK1G2	CK1	CK1
CSNK1G3	CK1	CK1
CSNK2A1	CMGC	CK2
CSNK2A2	CMGC	CK2
CLK1	CMGC	CLK
CLK2	CMGC	CLK
CLK3	CMGC	CLK
MAP3K8	STE	STE-Unique
CSF1R	TK	PDGFR
CSK	TK	Csk
MARK3	CAMK	CAMKL
GUCY2D	RGC	RGC
GUCY2F	RGC	RGC
DAPK1	CAMK	DAPK
DAPK2	CAMK	DAPK
MAP3K12	TKL	MLK
DMPK	AGC	DMPK
CDC42BPG	AGC	DMPK
PRKDC	Atypical	PIKK
DYRK1B	CMGC	DYRK
DYRK2	CMGC	DYRK
DYRK4	CMGC	DYRK
EEF2K	Atypical	Alpha
EGFR	TK	EGFR
EIF2AK2	Others	PEK
MARK2	CAMK	CAMKL
EPHA1	TK	Eph
EPHA2	TK	Eph
EPHA3	TK	Eph
