Degradability	Length	LysRatio	Acetylation_1	Acetylation_2	Methylation_1	Methylation_2	Methylation.K_1	Phosphorylation_1	Phosphorylation_2	Sumoylation_1	Ubiquitination_1	Ubiquitination_2	DisorderFraction	nInteract	nComplex	MOLT4_RNA	MOLT4_Protein	MOLT4_H3K27ac	Detectability	MLN4924_DMSO.PSI	MLN4924.PSI	SCF_DMSO.PSI	SCF.PSI	CRL3_DMSO.PSI	CRL3.PSI	CRL4_DMSO.PSI	CRL4.PSI	GPSarray	GPSseq	Cterminome	Nterminome	Mathieson2018_Bcells_Halflife	Mathieson2018_NKs_Halflife	Mathieson2018_Hepatocytes_Halflife	Mathieson2018_Monocytes_Halflife	Mathieson2018_mNeurons_Halflife	Boisvert2012_Hela_Whole_Turnover	Boisvert2012_Hela_Cytoplasm_Turnover	Boisvert2012_Hela_Nucleus_Turnover	Boisvert2012_Hela_Nucleolus_Turnover	Selbach2011_NIH3T3_Halflife	Zecha2018_Hela_Halflife
ACVR1B	low	505	0.0455445544554455	0	0	0	0	0	0.0821917808219178	0.0273972602739726	0	0.304347826086957	0.0434782608695652	0	376	0	3.67470180510397	-0.296717912574275	1.024	0.132450331125828	3.60948816144472	3.67115361318514	3.9257286978988	3.84634789698825	4.12177584342739	4.82367127358849	5.34906676256561	5.59765192245131	4.25151486633413	4.63970450962787	2.016	2.2958849140158	111.936168138734	264.439578776776	103.965788880986	102.312612739814	13.2535	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	4.83	16.96115406975
BRSK1	low	778	0.0565552699228792	0.0227272727272727	0.0227272727272727	0.0571428571428571	0.0476190476190476	0	0.162790697674419	0.062015503875969	0.0227272727272727	0.0227272727272727	0	0.355	289	0	2.90283133103112	0.13430957981214	1.058	0.105960264900662	5.09189013121885	5.14636637792698	4.8799579224829	4.87873878092436	4.83819971934745	4.74490546279528	5.72368016259926	5.59906519275114	5.13343198391211	3.40121234002465	4.416	3.96733333333333	111.936168138734	264.439578776776	30.5806666666667	102.312612739814	54.602	18.844250205	18.1529200284387	17.498725175	16.6467992267176	71.1	67.24593899
BRSK2	low	736	0.0706521739130435	0	0	0.0303030303030303	0.0202020202020202	0	0.236842105263158	0.166666666666667	0.0192307692307692	0.0192307692307692	0	0.283	286	0	0.344382395493868	0.785813428375705	0.053	0.132450331125828	4.85987658085971	5.13600623601698	5.11889539339051	5.09580284858842	4.97841072149797	4.96790768625929	5.25028628621303	5.03452385912779	5.0518672454903	4.63970450962787	3.79900193793931	3.32133333333333	111.936168138734	264.439578776776	15.833	102.312612739814	42.408	40.30545044	37.78860092	21.932436945	20.61590004	41.16	25.2006549
CAMK1D	low	385	0.0883116883116883	0.0882352941176471	0	0	0	0	0.180555555555556	0.0416666666666667	0.0294117647058824	0.147058823529412	0.0294117647058824	0.221	226	0	4.25726786896868	0.291338999762578	1.013	0.649006622516556	5.28489757247892	5.35586417627289	5.26834769919339	5.26669629313587	6.07642983132029	5.93095256869249	5.89573359191601	5.83547889309512	5.63135217372715	4.492	3.85166666666667	3.50333333333333	105.363	178.106	64.9231666666667	29.508	35.312	15.8678000454	16.1811099996	13.17325502525	13.861199855	48.358	53.25074545
CAMK2D	low	499	0.0721442885771543	0.0833333333333333	0.0277777777777778	0.0327868852459016	0.0163934426229508	0.0555555555555556	0.356164383561644	0.246575342465753	0	0.222222222222222	0.111111111111111	0.062	327	1	2.58086447487211	0.236371538820983	1	0.907284768211921	6.24177437384341	5.93585360437279	6.33399557138274	6.51428415382514	5.55437913657141	5.26583041315678	4.15900028054483	4.2121038122627	5.5722873405856	3.08033333333333	2.456	3.74933333333333	298.561	232.989	106.0795	69.685	45.3435	20.1498571124286	14.7149632446	14.8618547565714	21.593524695	322.48	62.67153531
CAMKK2	low	588	0.0527210884353742	0	0	0	0	0	0.241379310344828	0.183908045977011	0	0.451612903225806	0.193548387096774	0.039	231	0	5.58222919203263	0.227848319021451	1.985	1	5.05068592685809	5.08472228347867	5.05912903415043	5.08207914115267	4.92463903213154	4.96500241912498	5.11735830300051	5.09878801111699	5.03795307403514	4.51466666666667	4.18266666666667	3.06630190810319	69.9877142857143	84.695	103.965788880986	54.906	34.976	17.27394962	10.392250065	13.05350018	16.6467992267176	25.3233333333333	9.713385378
CASK	low	926	0.0637149028077754	0	0	0.0275229357798165	0	0.0508474576271186	0.220588235294118	0.102941176470588	0	0.23728813559322	0.0677966101694915	0.136	503	5	1.94190331131484	-0.0861732795127695	1.944	0.933774834437086	6.29841297599162	6.06265225393775	5.24196638561638	5.33091327330928	4.89742986149527	4.96745383905855	4.82818499320866	4.59407517913879	5.31649855407798	4.34464687461842	1.99311260601607	3.94333333333333	185.531	264.439578776776	98.5865	212.419142857143	47.7785	8.461000443	12.16565037	20.04410076	16.6467992267176	132.28	96.80826544
CDK19	low	502	0.0717131474103586	0	0	0	0	0	0.038961038961039	0.012987012987013	0	0.0833333333333333	0.0277777777777778	0.287	221	1	3.43067147514813	1.47814080309242	1.983	0.76158940397351	5.56028545916835	5.68333214210263	5.66861967189756	5.59109731373048	5.51410994758689	5.45547265889716	5.42873981836525	5.39371789717588	5.54293872425451	4.2229719213571	4.01943337654917	4.03333333333333	93.572	264.439578776776	103.965788880986	122.893	35.3545	24.4707498525	27.7413253775	26.247575285	16.6467992267176	63.175	143.058145786667
CDK8	low	464	0.084051724137931	0.0256410256410256	0.0256410256410256	0	0	0	0.0985915492957746	0.0422535211267606	0	0.153846153846154	0.0256410256410256	0.119	287	26	4.61290285640026	0.226295051620125	1.112	1	6.60742962264812	7.21345267480654	6.20990592418459	6.08712999606867	4.85460823682067	4.95648544182388	5.29461378503748	4.46339730098523	5.74163939217272	4.46433333333333	4.11066666666667	4.478	111.936168138734	264.439578776776	22.654	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	14.5433333333333	3.546697627
CHEK2	low	543	0.0718232044198895	0.0256410256410256	0	0.0153846153846154	0	0.0256410256410256	0.407766990291262	0.242718446601942	0	0.282051282051282	0.0769230769230769	0.096	750	1	4.59558723536691	0.897081962420227	2.072	1	5.44423830010169	5.56756201602189	5.75951315606967	5.8750253074932	5.11103927227291	4.7861262365259	4.19105591942008	4.26089722288264	5.12646166196609	4.16799630448695	4.16535106673439	4.011	165.456	264.439578776776	373.293166666667	189.42725	91.423625	19.0238335933333	21.73742485	22.161425115	16.37319946	91.66	353.6465207
CLK2	low	499	0.0480961923847695	0	0	0	0	0	0.316831683168317	0.168316831683168	0	0	0	0.301	197	0	5.73697705094391	0.216061211636903	2.513	1	5.31003419948339	5.14692100191841	5.66992960975728	5.83894827261461	5.96495341791759	5.98462661734814	5.11402269567132	4.66561676197512	5.5147349807074	3.517	3.42767091229966	4.455	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	18.8283794238886	18.1529200284387	19.2548421031562	16.6467992267176	82.9309789096696	66.6062795486124
CLK3	low	638	0.0454545454545455	0	0	0	0	0	0.240384615384615	0.182692307692308	0.0344827586206897	0.379310344827586	0.206896551724138	0.207	174	0	5.50583599432086	0.829190582424185	1.281	1	4.97843156982903	5.17056355732941	5.27114655852922	5.10723311496218	4.81253450036903	4.38074168821838	4.49630198132886	4.57558092492147	4.88960365251404	3.13357146361878	3.62123593366576	3.41508622702548	111.936168138734	264.439578776776	103.965788880986	27.31	15.9	12.02368975	18.1529200284387	12.97921038	16.6467992267176	15.08	17.0828578
CLK4	low	481	0.0665280665280665	0	0	0	0	0	0.275	0.0875	0.03125	0.15625	0	0.012	147	0	4.25891771531019	-0.74684215627077	1.027	0.841059602649007	5.26674585519165	5.65340599227946	4.8443507523856	4.83235504184909	4.78890449657199	4.98688058888476	5.33346854067727	5.0396778822693	5.05836741120663	3.60174224509092	4.16535106673439	3.4519244717008	111.936168138734	264.439578776776	103.965788880986	102.312612739814	55.35473944767	9.292750359	18.1529200284387	9.292750359	16.6467992267176	5.74	66.6062795486124
DCLK1	low	740	0.0702702702702703	0	0	0	0	0	0.214285714285714	0.155844155844156	0	0.0192307692307692	0.0192307692307692	0.007	248	0	0.137666157620435	-1.7783187170357	0	0.145695364238411	5.15889169576857	5.01099221423249	5.14073992733115	5.14588229919048	5.21753453753193	5.27249566805251	5.40554577548559	5.56279609673311	5.23067798402931	3.38498155244973	2.89066666666667	4.33266666666667	111.936168138734	264.439578776776	103.965788880986	102.312612739814	49.9365	15.46002436	18.1529200284387	24.91814995	1.51333499	27.81	126.9500331
DCLK2	low	766	0.0704960835509138	0	0	0	0	0	0.183673469387755	0.0748299319727891	0	0.0185185185185185	0	0	154	0	0.563244751170749	0.102524983226239	0	0.145695364238411	5.88747428000539	6.10592140976982	6.07153078989985	6.31414284614582	5.58653070241876	5.47636363017995	5.71358182939357	5.5089525550041	5.81477940042939	4.1829349027	3.23972322536848	4.88417946494249	111.936168138734	264.439578776776	21.819	102.312612739814	38.141	6.05189991	26.16060066	5.552460194	16.6467992267176	29.148	52.07789382
